candidate_name,years_ok,mean_auc,mean_base,mean_top10_prec,min_top10_prec,mean_top10_edge,min_top10_edge,total_top10_signals,verdict
smt_previous_day / high / n1_thesis_confirmed_strict,6,0.9607,0.4087,1.0000,1.0000,0.5913,0.5474,69,ROBUST (6/6 years >= 0.85)
smt_previous_day / high / n1_primary_took_period_n_low,6,0.9607,0.4087,1.0000,1.0000,0.5913,0.5474,69,ROBUST (6/6 years >= 0.85)
smt_previous_day / high / n1_close_moved_with_thesis,6,0.9688,0.4090,0.9861,0.9167,0.5771,0.4847,69,ROBUST (6/6 years >= 0.85)
opening_gap_broad / gap_down / resistance_rejection_3bar (winner),6,0.7490,0.6443,0.9496,0.7941,0.3053,0.2086,231,ROBUST (5/6 years >= 0.85)
opening_gap_broad / gap_up / support_rejection_3bar (mirror),6,0.7226,0.6560,0.9371,0.8333,0.2812,0.2068,286,ROBUST (5/6 years >= 0.85)
opening_gap_strict / all / partial_touch_rejected@60m,6,0.8309,0.3290,0.8811,0.8072,0.5520,0.5141,515,ROBUST (5/6 years >= 0.85)
opening_gap_broad / all / unfilled_at_window_end,6,0.8300,0.3290,0.8718,0.8313,0.5427,0.4691,515,MIXED (4/6 years >= 0.85)
opening_gap_strict / gap_down / partial_touch_rejected@60m,6,0.8291,0.3149,0.8548,0.6977,0.5399,0.3956,231,MIXED (3/6 years >= 0.85)
forming_vp / all / next_60m.took_profile_so_far_high,6,0.8883,0.2401,0.7906,0.7539,0.5505,0.5193,2291,FLUKE (1/6 years >= 0.85)
forming_vp / all / next_60m.took_profile_so_far_low,6,0.8766,0.1939,0.7294,0.6893,0.5354,0.5030,2291,FLUKE (0/6 years >= 0.85)
