fire_key,ogap_gap_down_rejection,ogap_gap_up_rejection,ogap_strict_partial_touch,smt_pd_high_close_moved,smt_pd_high_thesis,n_signals
2025-01-26 | ES.c.0,True,False,True,False,False,2
2025-01-26 | NQ.c.0,True,False,True,False,False,2
2025-01-26 | YM.c.0,True,False,False,False,False,1
2025-02-02 | ES.c.0,True,False,True,False,False,2
2025-02-02 | YM.c.0,True,False,False,False,False,1
2025-02-09 | ES.c.0,True,False,True,False,False,2
2025-02-09 | NQ.c.0,False,False,True,False,False,1
2025-02-09 | YM.c.0,True,False,True,False,False,2
2025-02-16 | NQ.c.0,False,True,False,False,False,1
2025-02-20 | YM.c.0,False,False,False,True,True,2
2025-02-23 | ES.c.0,False,True,False,False,False,1
2025-02-23 | NQ.c.0,False,True,False,False,False,1
2025-03-06 | NQ.c.0,False,False,False,True,True,2
2025-03-09 | ES.c.0,True,False,True,False,False,2
2025-03-09 | NQ.c.0,True,False,True,False,False,2
2025-03-09 | YM.c.0,False,False,False,False,True,1
2025-03-10 | NQ.c.0,False,False,False,False,True,1
2025-03-23 | ES.c.0,False,True,True,False,False,2
2025-03-23 | NQ.c.0,False,False,True,False,False,1
2025-03-23 | YM.c.0,False,False,True,False,False,1
2025-03-26 | ES.c.0,True,False,False,False,False,1
2025-03-30 | NQ.c.0,True,False,False,False,False,1
2025-03-30 | YM.c.0,True,False,True,False,False,2
2025-04-06 | ES.c.0,True,False,True,False,False,2
2025-04-06 | NQ.c.0,True,False,False,False,False,1
2025-04-06 | YM.c.0,True,False,False,False,False,1
2025-04-13 | ES.c.0,False,False,True,False,False,1
2025-04-13 | YM.c.0,False,False,True,False,False,1
2025-05-11 | ES.c.0,False,True,True,False,False,2
2025-05-11 | NQ.c.0,False,False,True,False,False,1
2025-05-18 | ES.c.0,True,False,True,False,False,2
2025-05-18 | NQ.c.0,True,False,True,False,False,2
2025-05-18 | YM.c.0,False,False,True,False,False,1
2025-05-21 | ES.c.0,False,False,False,True,True,2
2025-05-28 | ES.c.0,False,False,False,True,True,2
2025-06-01 | ES.c.0,True,False,True,False,False,2
2025-06-15 | ES.c.0,True,False,False,False,False,1
2025-06-22 | ES.c.0,True,False,True,False,False,2
2025-06-22 | NQ.c.0,False,False,True,False,False,1
2025-06-22 | YM.c.0,False,False,True,False,False,1
2025-07-06 | ES.c.0,False,True,True,False,False,2
2025-07-06 | NQ.c.0,False,True,True,False,False,2
2025-07-06 | YM.c.0,False,True,False,False,False,1
2025-07-13 | ES.c.0,True,False,True,False,False,2
2025-07-13 | NQ.c.0,True,False,True,False,False,2
2025-07-27 | ES.c.0,False,True,True,False,False,2
2025-07-27 | NQ.c.0,False,True,True,False,False,2
2025-07-27 | YM.c.0,False,False,True,False,False,1
2025-07-29 | NQ.c.0,False,False,False,False,True,1
2025-07-31 | ES.c.0,False,False,False,True,True,2
2025-08-11 | YM.c.0,False,False,False,True,True,2
2025-08-31 | ES.c.0,False,True,False,False,False,1
2025-08-31 | NQ.c.0,False,True,False,False,False,1
2025-09-10 | YM.c.0,False,False,False,True,False,1
2025-09-21 | ES.c.0,False,True,True,False,False,2
2025-09-21 | NQ.c.0,False,True,True,False,False,2
2025-09-21 | YM.c.0,False,True,True,False,False,2
2025-10-09 | YM.c.0,False,False,False,True,False,1
2025-10-12 | ES.c.0,False,True,True,False,False,2
2025-10-12 | NQ.c.0,False,False,True,False,False,1
2025-10-12 | YM.c.0,False,False,True,False,False,1
2025-10-16 | ES.c.0,False,False,False,True,False,1
2025-10-22 | ES.c.0,False,False,False,False,True,1
2025-10-26 | ES.c.0,False,True,True,False,False,2
2025-10-26 | NQ.c.0,False,True,True,False,False,2
2025-11-06 | NQ.c.0,False,False,False,True,True,2
2025-11-09 | ES.c.0,False,True,True,False,False,2
2025-11-09 | NQ.c.0,False,True,True,False,False,2
2025-11-17 | ES.c.0,False,False,False,True,True,2
2025-12-07 | NQ.c.0,False,True,False,False,False,1
2025-12-08 | NQ.c.0,False,False,False,True,False,1
2025-12-11 | ES.c.0,True,False,False,False,False,1
2025-12-21 | ES.c.0,False,True,True,False,False,2
2025-12-21 | NQ.c.0,False,False,True,False,False,1
2025-12-21 | YM.c.0,False,False,True,False,False,1
