test_year,n_signals,n_combos,trades,hits,precision
2020,1,309,309,252,0.8155
2020,2,38,76,70,0.9211
2020,3,2,6,6,1.0000
2021,1,309,309,261,0.8447
2021,2,26,52,50,0.9615
2021,3,1,3,3,1.0000
2022,1,312,312,252,0.8077
2022,2,31,62,56,0.9032
2022,3,2,6,6,1.0000
2022,4,1,4,3,0.7500
2023,1,312,312,254,0.8141
2023,2,32,64,60,0.9375
2023,3,5,15,12,0.8000
2023,4,1,4,4,1.0000
2024,1,310,310,262,0.8452
2024,2,42,84,74,0.8810
2024,3,3,9,9,1.0000
2025,1,313,313,276,0.8818
2025,2,38,76,73,0.9605
2025,3,2,6,6,1.0000
