label,test_year,n,wins,win_rate,cum_r,max_dd
v5_winner,2020,102,64,0.6275,67.2582,5.3704
v5_winner,2021,79,40,0.5063,21.0757,8.0000
v5_winner,2022,99,40,0.4040,5.5754,18.7858
v5_winner,2023,110,53,0.4818,11.4999,14.2828
v5_winner,2024,121,69,0.5702,36.7252,9.7992
v5_winner,2025,118,30,0.2542,-47.0282,57.7562
v5_winner_no_ym,2020,102,64,0.6275,67.2582,5.3704
v5_winner_no_ym,2021,68,36,0.5294,20.0757,5.0000
v5_winner_no_ym,2022,83,36,0.4337,9.5754,14.7858
v5_winner_no_ym,2023,95,46,0.4842,15.7200,10.8088
v5_winner_no_ym,2024,98,58,0.5918,32.2829,5.9681
v5_winner_no_ym,2025,106,30,0.2830,-35.0282,49.7562
