symbol,signal,n_trades,wins,win_rate,cum_r,avg_r
6N.c.0,gap_down_rejection,161,81,0.5031,20.5352,0.1275
6A.c.0,gap_up_rejection,33,19,0.5758,18.1560,0.5502
6C.c.0,gap_down_rejection,20,16,0.8000,16.2558,0.8128
6E.c.0,gap_up_rejection,25,17,0.6800,14.9339,0.5974
ES.c.0,gap_up_rejection,218,115,0.5275,12.0929,0.0555
6C.c.0,gap_up_rejection,28,23,0.8214,11.9517,0.4268
6N.c.0,gap_up_rejection,78,41,0.5256,10.8336,0.1389
ZN.c.0,gap_down_rejection,70,32,0.4571,10.5517,0.1507
CL.c.0,gap_down_rejection,44,26,0.5909,10.2664,0.2333
NQ.c.0,gap_up_rejection,263,142,0.5399,10.1352,0.0385
6E.c.0,gap_down_rejection,32,18,0.5625,5.3312,0.1666
ZB.c.0,gap_down_rejection,47,28,0.5957,3.5041,0.0746
6B.c.0,gap_up_rejection,9,6,0.6667,3.4276,0.3808
HO.c.0,gap_down_rejection,16,12,0.7500,3.2915,0.2057
RB.c.0,gap_down_rejection,20,14,0.7000,3.2527,0.1626
BZ.c.0,gap_up_rejection,20,10,0.5000,2.0197,0.1010
BZ.c.0,gap_down_rejection,21,8,0.3810,1.2476,0.0594
6B.c.0,gap_down_rejection,16,10,0.6250,0.8525,0.0533
RTY.c.0,gap_down_rejection,86,46,0.5349,0.6227,0.0072
6S.c.0,gap_down_rejection,62,29,0.4677,0.1770,0.0029
6J.c.0,gap_up_rejection,2,0,0.0000,-0.4008,-0.2004
ZT.c.0,gap_down_rejection,8,4,0.5000,-0.6159,-0.0770
6S.c.0,gap_up_rejection,35,12,0.3429,-1.1151,-0.0319
HO.c.0,gap_up_rejection,12,6,0.5000,-1.2669,-0.1056
6J.c.0,gap_down_rejection,8,4,0.5000,-1.3643,-0.1705
NG.c.0,gap_down_rejection,164,72,0.4390,-1.5441,-0.0094
ZT.c.0,gap_up_rejection,6,0,0.0000,-2.7619,-0.4603
ES.c.0,gap_down_rejection,124,63,0.5081,-3.0619,-0.0247
RTY.c.0,gap_up_rejection,155,81,0.5226,-4.4788,-0.0289
ZF.c.0,gap_down_rejection,36,18,0.5000,-4.7933,-0.1331
RB.c.0,gap_up_rejection,8,2,0.2500,-5.5643,-0.6955
YM.c.0,gap_down_rejection,169,76,0.4497,-5.9558,-0.0352
ZB.c.0,gap_up_rejection,20,6,0.3000,-6.2750,-0.3137
NG.c.0,gap_up_rejection,155,59,0.3806,-7.9643,-0.0514
YM.c.0,gap_up_rejection,198,99,0.5000,-10.5869,-0.0535
ZN.c.0,gap_up_rejection,40,12,0.3000,-11.7355,-0.2934
ZF.c.0,gap_up_rejection,26,4,0.1538,-12.1648,-0.4679
6A.c.0,gap_down_rejection,55,13,0.2364,-15.6485,-0.2845
NQ.c.0,gap_down_rejection,150,59,0.3933,-18.1833,-0.1212
CL.c.0,gap_up_rejection,84,26,0.3095,-25.2368,-0.3004
