hour_utc,n,cum_r,avg_r,win_rate
0,3296,244.3830,0.0741,0.5133
1,97,41.0949,0.4237,0.6495
2,60,31.1047,0.5184,0.8167
3,38,19.0344,0.5009,0.6842
4,219,238.7034,1.0900,0.8128
5,38,2.0563,0.0541,0.3684
6,1652,109.4748,0.0663,0.3971
7,965,171.5773,0.1778,0.4290
8,344,401.5766,1.1674,0.7442
9,100,96.2690,0.9627,0.7500
10,81,67.2534,0.8303,0.5802
11,97,67.4751,0.6956,0.5361
12,688,688.4195,1.0006,0.5828
13,282,340.4610,1.2073,0.6560
14,1477,453.7583,0.3072,0.4712
15,907,356.6386,0.3932,0.5138
16,430,464.7153,1.0807,0.7674
17,174,154.5005,0.8879,0.7241
18,183,101.3668,0.5539,0.6776
19,166,132.9125,0.8007,0.7530
20,135,103.2001,0.7644,0.7630
21,19,9.5077,0.5004,0.7368
22,1965,-23.3625,-0.0119,0.4794
23,1128,89.9271,0.0797,0.5328
