feature,asset_class,n_symbols,symbols,count__mean,count__std,n_years__mean,n_years__std,per_year__mean,per_year__std,n_with_outcomes__mean,n_with_outcomes__std,pct_thesis_up__mean,pct_thesis_up__std,hour_mode_utc__mean,hour_mode_utc__std,fwd10_mfe_pts_mean__mean,fwd10_mfe_pts_mean__std,fwd10_mae_pts_mean__mean,fwd10_mae_pts_mean__std,fwd10_ratio_mfe_mae__mean,fwd10_ratio_mfe_mae__std,fwd10_last_close_thesis_mean__mean,fwd10_last_close_thesis_mean__std,fwd10_last_close_thesis_hitrate__mean,fwd10_last_close_thesis_hitrate__std,fwd50_mfe_pts_mean__mean,fwd50_mfe_pts_mean__std,fwd50_mae_pts_mean__mean,fwd50_mae_pts_mean__std,fwd50_ratio_mfe_mae__mean,fwd50_ratio_mfe_mae__std,fwd50_last_close_thesis_mean__mean,fwd50_last_close_thesis_mean__std,fwd50_last_close_thesis_hitrate__mean,fwd50_last_close_thesis_hitrate__std
fvg_formation,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",40101.25,4927.3228,9.0,0.0,4455.7,547.4625,39972.25,4958.717,0.4938,0.0017,12.0,8.0,0.1731,0.1419,0.1781,0.1459,0.97,0.008,-0.0042,0.0021,0.4632,0.0107,0.3915,0.3246,0.3877,0.3204,1.0095,0.0057,0.0001,0.0006,0.4883,0.0057
fvg_formation,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",67890.4,14836.0066,9.0,0.0,7543.42,1648.4439,67784.6,14804.3918,0.5128,0.006,0.0,0.0,0.2387,0.2909,0.2331,0.2831,1.0172,0.0143,-0.0009,0.0023,0.489,0.0045,0.5717,0.6922,0.5571,0.6715,1.0172,0.0189,-0.0006,0.0016,0.4986,0.0015
fvg_formation,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",60051.1429,11369.4837,9.0,0.0,6672.3429,1263.2662,59825.7143,11366.6452,0.4953,0.0112,4.5714,6.2944,0.0017,0.0009,0.0017,0.001,0.9837,0.0223,-0.0,0.0,0.4887,0.0051,0.0037,0.002,0.0037,0.0021,0.9893,0.0162,-0.0001,0.0001,0.494,0.0044
fvg_formation,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",38231.3333,4376.0098,9.0,0.0,4247.9333,486.251,38045.3333,4344.5035,0.4953,0.0042,16.0,0.0,5.1353,1.5137,5.166,1.5119,0.994,0.0087,-0.0237,0.0832,0.476,0.0087,11.0596,3.2005,11.0143,3.1706,1.004,0.0087,-0.0248,0.141,0.492,0.0035
fvg_formation,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",52212.0,2371.8709,9.0,0.0,5801.325,263.5304,52153.25,2376.1232,0.538,0.0096,0.0,0.0,48.8034,46.7253,48.6284,46.5305,1.001,0.0068,-0.1383,0.3632,0.495,0.0059,114.4324,109.3572,115.4398,110.1952,0.988,0.0068,-0.8511,0.9797,0.5012,0.0051
liquidity_sweep,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",9842.5,593.5753,9.0,0.0,1093.6,65.9658,9840.5,596.3318,0.507,0.0038,3.0,6.0,0.2877,0.246,0.2863,0.2409,0.999,0.0125,0.0058,0.005,0.4898,0.0038,0.6371,0.5413,0.6434,0.5449,0.984,0.0173,0.0093,0.0091,0.4995,0.0033
liquidity_sweep,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",10776.6,112.5447,9.0,0.0,1197.4,12.5202,10776.4,112.202,0.4732,0.0169,13.2,12.0499,0.4633,0.5627,0.4755,0.5785,0.9712,0.0366,0.0042,0.0054,0.4938,0.0022,1.0763,1.3028,1.1025,1.3348,0.9716,0.0225,0.0232,0.0314,0.4974,0.0068
liquidity_sweep,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",10292.8571,545.8063,9.0,0.0,1143.6429,60.627,10292.0,547.8516,0.512,0.0159,0.0,0.0,0.0029,0.0015,0.0028,0.0015,1.0237,0.0337,0.0001,0.0001,0.4969,0.006,0.0063,0.0033,0.0062,0.0033,1.0161,0.0179,0.0002,0.0001,0.504,0.0037
liquidity_sweep,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",9505.6667,337.6986,9.0,0.0,1056.1667,37.5342,9503.0,341.4045,0.5053,0.0127,0.0,0.0,8.6189,2.7443,8.5852,2.9133,1.0087,0.0359,0.1008,0.3404,0.4943,0.0112,18.3249,5.7434,18.3423,6.0598,1.0027,0.0214,0.2514,0.4168,0.5043,0.0055
liquidity_sweep,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",10937.25,41.8121,9.0,0.0,1215.225,4.6572,10937.25,41.8121,0.4535,0.0201,5.5,11.0,94.1733,90.1733,92.0474,88.3154,1.0215,0.0128,2.0111,2.0637,0.4998,0.0074,219.8019,209.5938,216.2642,207.1832,1.019,0.0063,2.4152,1.8471,0.4935,0.0175
order_block,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",8092.75,763.6358,9.0,0.0,899.2,84.8502,8091.75,764.7319,0.5095,0.0053,4.0,8.0,0.2648,0.2234,0.2858,0.2431,0.9303,0.0079,-0.0092,0.0108,0.4822,0.0101,0.622,0.5224,0.646,0.5486,0.9657,0.01,-0.0019,0.0087,0.5008,0.004
order_block,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",9438.6,90.9742,9.0,0.0,1048.74,10.1133,9438.4,91.265,0.4748,0.0154,9.6,8.7636,0.461,0.561,0.4525,0.5477,0.9938,0.0272,0.0056,0.0084,0.499,0.0046,1.073,1.2995,1.0691,1.2901,0.9874,0.0199,0.0259,0.039,0.4972,0.0047
order_block,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",8133.1429,1240.7134,9.0,0.0,903.6857,137.8469,8133.1429,1240.7134,0.5104,0.0164,5.7143,6.0474,0.0028,0.0015,0.0029,0.0015,0.9936,0.0322,0.0,0.0001,0.4991,0.0094,0.0063,0.0033,0.0063,0.0033,1.0089,0.0225,0.0001,0.0001,0.5037,0.0053
order_block,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",7682.0,344.0218,9.0,0.0,853.5667,38.1762,7681.6667,344.2562,0.5077,0.0146,16.0,0.0,8.2599,2.7309,8.4447,2.861,0.982,0.0324,-0.0999,0.1724,0.4893,0.005,17.7671,5.8245,18.104,5.8988,0.9813,0.0074,-0.1044,0.2365,0.4997,0.0042
order_block,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",9631.75,12.8938,9.0,0.0,1070.175,1.4268,9631.75,12.8938,0.4612,0.0184,4.0,8.0,93.8962,89.9472,91.408,87.6391,1.0212,0.0153,2.4843,2.6364,0.496,0.0062,220.9997,210.4341,214.8613,206.6294,1.0315,0.0142,1.8639,2.8266,0.4932,0.0103
swing_pivot,bond,4,"ZB.c.0,ZF.c.0,ZN.c.0,ZT.c.0",12568.25,1627.9765,9.0,0.0,1396.475,180.8991,12565.25,1631.8933,0.4873,0.0079,12.0,0.0,0.4271,0.3547,0.1173,0.0989,3.6772,0.13,0.1544,0.1271,0.6518,0.0039,0.783,0.6542,0.4737,0.3976,1.6585,0.0212,0.1572,0.1308,0.5803,0.0042
swing_pivot,energy,5,"BZ.c.0,CL.c.0,HO.c.0,NG.c.0,RB.c.0",18058.4,361.3057,9.0,0.0,2006.48,40.1396,18057.0,361.036,0.4992,0.0033,11.2,1.7889,0.6727,0.8147,0.1901,0.2322,3.6714,0.1423,0.2398,0.2893,0.6526,0.0035,1.2647,1.5281,0.7884,0.9536,1.6144,0.0262,0.2417,0.2928,0.5692,0.0022
swing_pivot,fx,7,"6A.c.0,6B.c.0,6C.c.0,6E.c.0,6J.c.0,6N.c.0,6S.c.0",14018.1429,2678.8911,9.0,0.0,1557.5571,297.6578,14017.2857,2679.4135,0.4953,0.0057,10.2857,4.5356,0.0044,0.0024,0.001,0.0005,4.6853,0.9673,0.0017,0.001,0.6679,0.0116,0.0078,0.0041,0.0043,0.0023,1.8091,0.1596,0.0017,0.001,0.5899,0.0134
swing_pivot,grain,3,"ZC.c.0,ZS.c.0,ZW.c.0",10977.0,454.2995,9.0,0.0,1219.7,50.4777,10975.3333,452.7166,0.491,0.0046,12.0,0.0,13.0319,4.2055,3.0373,0.9694,4.294,0.1401,5.1957,1.7062,0.663,0.0056,22.4357,6.8363,12.3538,3.7077,1.814,0.0157,5.0712,1.4198,0.5873,0.0031
swing_pivot,index,4,"ES.c.0,NQ.c.0,RTY.c.0,YM.c.0",18519.75,390.8694,9.0,0.0,2057.75,43.4331,18519.75,390.8694,0.4968,0.0022,12.0,0.0,132.7267,126.7134,39.5707,37.7208,3.334,0.1011,46.5177,44.7612,0.6492,0.0025,252.3198,241.1477,157.9406,151.1677,1.5962,0.0208,46.4922,44.6306,0.566,0.0039
